team,player
Shamrock Rovers FC,Carl Airey
Shamrock Rovers FC,Paddy Ambrose
Shamrock Rovers FC,Pádraig Amond
Shamrock Rovers FC,Vinny Arkins
Shamrock Rovers FC,John Bacon
Shamrock Rovers FC,Eddie Bailham
Shamrock Rovers FC,Dessie Baker
Shamrock Rovers FC,Eric Barber
Shamrock Rovers FC,Graham Barrett
Shamrock Rovers FC,Martin Bayly
Shamrock Rovers FC,Ritchie Bayly
Shamrock Rovers FC,Robert Bayly
Shamrock Rovers FC,Jim Beglin
Shamrock Rovers FC,Billy Behan
Shamrock Rovers FC,Danny Bennett
Shamrock Rovers FC,Ian Bermingham
Shamrock Rovers FC,Paddy Bermingham
Shamrock Rovers FC,Mike Betts
Shamrock Rovers FC,Maxime Blanchard
Shamrock Rovers FC,Samir Boughanem
Shamrock Rovers FC,Stephen Bradley
Shamrock Rovers FC,Frank Brady Jr.
Shamrock Rovers FC,Kevin Brady
Shamrock Rovers FC,Gino Brazil
Shamrock Rovers FC,Tommy Breen
Shamrock Rovers FC,Gavin Brennan
Shamrock Rovers FC,Killian Brennan
Shamrock Rovers FC,Hugh Brophy
Shamrock Rovers FC,Bobby Browne
Shamrock Rovers FC,Richard Brush
Shamrock Rovers FC,Jim Buchanan
Shamrock Rovers FC,Liam Buckley
Shamrock Rovers FC,Graham Burke
Shamrock Rovers FC,John Burke
Shamrock Rovers FC,Mickey Burke
Shamrock Rovers FC,Willie Burke
Shamrock Rovers FC,Dennis Burnett
Shamrock Rovers FC,Francis Burns
Shamrock Rovers FC,Alan Byrne
Shamrock Rovers FC,Damien Byrne
Shamrock Rovers FC,David Byrne
Shamrock Rovers FC,Eddie Byrne
Shamrock Rovers FC,Jack Byrne
Shamrock Rovers FC,Jody Byrne
Shamrock Rovers FC,Mick Byrne
Shamrock Rovers FC,Pat Byrne
Shamrock Rovers FC,Richie Byrne
Shamrock Rovers FC,Tony Byrne
Shamrock Rovers FC,Mick Cahill
Shamrock Rovers FC,Ollie Cahill
Shamrock Rovers FC,Greg Cameron
Shamrock Rovers FC,Martin Cameron
Shamrock Rovers FC,Alan Campbell
Shamrock Rovers FC,Dave Campbell
Shamrock Rovers FC,David Campbell
Shamrock Rovers FC,Noel Campbell
Shamrock Rovers FC,Christy Canavan
Shamrock Rovers FC,Johnny Carey
Shamrock Rovers FC,Paul Carlyle
Shamrock Rovers FC,Daniel Carr
Shamrock Rovers FC,James Chambers
Shamrock Rovers FC,Sammy Chapman
Shamrock Rovers FC,Tomer Chencinski
Shamrock Rovers FC,Ross Chisholm
Shamrock Rovers FC,Tim Clancy
Shamrock Rovers FC,Dean Clarke
Shamrock Rovers FC,Denis Clarke
Shamrock Rovers FC,Gerry Clarke
Shamrock Rovers FC,Jackie Clarke
Shamrock Rovers FC,Mattie Clarke
Shamrock Rovers FC,Paddy Coad
Shamrock Rovers FC,John Coady
Shamrock Rovers FC,Karl Coleman
Shamrock Rovers FC,Bobby Collins
Shamrock Rovers FC,Jimmy Collins
Shamrock Rovers FC,Roddy Collins
Shamrock Rovers FC,Jason Colwell
Shamrock Rovers FC,Dave Connell
Shamrock Rovers FC,Ryan Connolly
Shamrock Rovers FC,John Conway
Shamrock Rovers FC,Mick Cooke
Shamrock Rovers FC,Wayne Cooney
Shamrock Rovers FC,Sean Core
Shamrock Rovers FC,Paul Corry
Shamrock Rovers FC,Greg Costello
Shamrock Rovers FC,Pat Courtney
Shamrock Rovers FC,Tony Cousins
