team,avg_first_name,avg_middle_name,avg_last_name,avg_name
Boavista FC,Ricardo,,Barbosa,Ricardo Barbosa
SC Braga,Baiano,,Palmeira,Baiano Palmeira
CD Aves,Martelinho,,Santos,Martelinho Santos
FC Famalic%C3%A3o,Ricardo,,Paneira,Ricardo Paneira
Gil Vicente FC,Januario,,Bessa,Januario Bessa
CS Mar%C3%ADtimo,Mariano,,Pereira,Mariano Pereira
Moreirense FC,Juanico,,Pires,Juanico Pires
FC Pa%C3%A7os de Ferreira,Baiano,,Felgueiras,Baiano Felgueiras
Portimonense SC,Paulinho,,,Paulinho
FC Porto,Laurindo,,Freitas,Laurindo Freitas
Rio Ave FC,Huanderson,,Felgueiras,Huanderson Felgueiras
CD Santa Clara,Mariano,,,Mariano
Sporting CP,Luciano,,Tavares,Luciano Tavares
CD Tondela,Aguinaldo,,Palmeira,Aguinaldo Palmeira
Vit%C3%B3ria SC,Paulo,,Freitas,Paulo Freitas
Vit%C3%B3ria FC,Mano,,Saleiro,Mano Saleiro
FC Krasnodar,Aleksandr,,Minkov,Aleksandr Minkov
FC Spartak Moscow,Aleksandr,,Salnikov,Aleksandr Salnikov
FC Rostov,Aleksandr,,Olenikov,Aleksandr Olenikov
FC Lokomotiv Moscow,Aleksandr,,Lokhanov,Aleksandr Lokhanov
FC Zenit Saint Petersburg,Oleksandr,,Danilov,Oleksandr Danilov
PFC CSKA Moscow,Valeri,,Shikunov,Valeri Shikunov
FC Arsenal Tula,Aleksandr,,Dyakov,Aleksandr Dyakov
FC Ural Yekaterinburg,Aleksei,,Sinyov,Aleksei Sinyov
FC Rubin Kazan,Aleksandr,,Zakirov,Aleksandr Zakirov
FC Ufa,Oleksandr,,Kolesnikov,Oleksandr Kolesnikov
FC Dynamo Moscow,Aleksandr,,Salnikov,Aleksandr Salnikov
FC Akhmat Grozny,Aleksandr,,Daliyev,Aleksandr Daliyev
FC Krylia Sovetov Samara,Aleksandr,,Kiryanov,Aleksandr Kiryanov
FC Tambov,Aleksandr,,Kulikov,Aleksandr Kulikov
PFC Sochi,Nikita,,Bakhtiyarov,Nikita Bakhtiyarov
FC Orenburg,Aleksandr,,Kaykov,Aleksandr Kaykov
SBV Vitesse,Michael,,Snijders,Michael Snijders
AFC Ajax,Dani,,Sorensen,Dani Sorensen
PSV Eindhoven,Jeremain,,Nielsen,Jeremain Nielsen
FC Twente,Dario,,Celina,Dario Celina
Sparta Rotterdam,Kew,,Fischer,Kew Fischer
AZ Alkmaar,Kew,,Nielsen,Kew Nielsen
FC Utrecht,Co,,Wouters,Co Wouters
Feyenoord,Soren,,Larsen,Soren Larsen
SC Heerenveen,Mario,,Jensen,Mario Jensen
ADO Den Haag,Marco,,Meijers,Marco Meijers
VVV-Venlo,Joeri,,Gerritsen,Joeri Gerritsen
Heracles Almelo,Rob,,Armenteros,Rob Armenteros
FC Groningen,Martin,,Koeman,Martin Koeman
PEC Zwolle,Dario,,Karlsen,Dario Karlsen
FC Emmen,Martin,,Zeinstra,Martin Zeinstra
Fortuna Sittard,Jose,,Notermans,Jose Notermans
RKC Waalwijk,Marcel,,Vertonghen,Marcel Vertonghen
Standard Li%C3%A8ge,Jean,,Bastien,Jean Bastien
