Country,Club,Mode_First_Name,Mode_Last_Name,Mode_Name
England,[](#sprite1-p3) Liverpool,John,Jones,John Jones
England,[](#sprite1-p10) Manchester City,David,Smith,David Smith
England,[](#sprite1-p87) Leicester City,John,Smith,John Smith
England,[](#sprite1-p67) Crystal Palace,John,"Smith, Taylor",John Smith-Taylor
England,[](#sprite1-p1) Arsenal,John,Jones,John Jones
England,[](#sprite1-p15) Everton,John,Jones,John Jones
England,[](#sprite1-p21) West Ham United,George,X,George X
England,[](#sprite1-p2) Manchester United,John,"Jones, Williams",John Jones-Williams
England,[](#sprite1-p5) Tottenham Hotspur,John,Smith,John Smith
England,[](#sprite1-p159) Sheffield United,John,Smith,John Smith
England,[](#sprite1-p4) Chelsea,John,Smith,John Smith
England,[](#sprite1-p156) Burnley,John,Smith,John Smith
England,[](#sprite1-p38) Southampton,George,Brown,George Brown
England,[](#sprite1-p11) Newcastle United,John,Smith,John Smith
England,[](#sprite1-p218) Bournemouth,John,Smith,John Smith
England,[](#sprite1-p103) Brighton & Hove Albion,Jack,Smith,Jack Smith
England,[](#sprite1-p70) Wolverhampton Wanderers,George,Jones,George Jones
England,[](#sprite1-p19) Aston Villa,John,"Evans, Williams",John Evans-Williams
England,[](#sprite1-p44) Norwich City,John,Smith,John Smith
England,[](#sprite1-p112) Watford,Jimmy,Smith,Jimmy Smith
England,[](#sprite1-p212) Barnsley,John,Smith,John Smith
England,[](#sprite1-p102) Birmingham City,Jack,Smith,Jack Smith
England,[](#sprite1-p83) Blackburn Rovers,John,"Jones, Taylor",John Jones-Taylor
England,[](#sprite1-p198) Brentford,John,Smith,John Smith
England,[](#sprite1-p158) Bristol City,John,Williams,John Williams
England,[](#sprite1-p80) Cardiff City,John,Jones,John Jones
England,[](#sprite1-p147) Charlton Athletic,John,Smith,John Smith
England,[](#sprite1-p116) Derby County,John,Smith,John Smith
England,[](#sprite1-p29) Fulham,John,Brown,John Brown
England,[](#sprite1-p199) Huddersfield Town,Paul,Smith,Paul Smith
England,[](#sprite1-p117) Hull City,George,Smith,George Smith
England,[](#sprite1-p27) Leeds United,"David, John",Smith,David-John Smith
England,[](#sprite1-p206) Luton Town,John,Brown,John Brown
England,[](#sprite1-p91) Middlesbrough,John,Smith,John Smith
England,[](#sprite1-p185) Millwall,John,Smith,John Smith
England,[](#sprite1-p66) Nottingham Forest,John,"Brown, Jones, Smith",John Brown-Jones-Smith
England,[](#sprite1-p179) Preston North End,John,"Brown, Smith",John Brown-Smith
England,[](#sprite1-p57) Queens Park Rangers,John,Smith,John Smith
England,[](#sprite1-p73) Reading,John,Smith,John Smith
England,[](#sprite1-p92) Sheffield Wednesday,John,Jones,John Jones
England,[](#sprite1-p81) Stoke City,John,Smith,John Smith
England,[](#sprite1-p39) Swansea City,John,Jones,John Jones
England,[](#sprite1-p78) West Bromwich Albion,George,Jones,George Jones
England,[](#sprite1-p105) Wigan Athletic,John,"Roberts, Taylor",John Roberts-Taylor
England,[](#sprite1-p118) Ipswich Town,David,Brown,David Brown
England,[](#sprite1-p331) Lincoln City,John,Smith,John Smith
England,[](#sprite1-p146) Blackpool,John,Jones,John Jones
England,[](#sprite1-p136) Coventry City,John,Smith,John Smith
England,[](#sprite1-p336) Wycombe Wanderers,Paul,Thompson,Paul Thompson
England,[](#sprite1-p46) Sunderland,John,Smith,John Smith
England,[](#sprite1-p269) Peterborough United,David,Smith,David Smith
England,[](#sprite1-p459) Burton Albion,Lee,Taylor,Lee Taylor
England,[](#sprite2-p364) Fleetwood Town,X,X,X X
England,[](#sprite1-p468) Rochdale,John,Jones,John Jones
England,[](#sprite1-p252) Doncaster Rovers,John,Jones,John Jones
England,[](#sprite1-p368) Shrewsbury Town,John,Jones,John Jones
England,[](#sprite1-p404) Rotherham United,John,Wilson,John Wilson
England,[](#sprite1-p211) Bristol Rovers,Jack,"Jones, Williams",Jack Jones-Williams
England,[](#sprite1-p332) Milton Keynes Dons,David,"Smith, Williams",David Smith-Williams
England,[](#sprite1-p268) Gillingham,George,Smith,George Smith
England,[](#sprite1-p85) Portsmouth,John,Smith,John Smith
England,[](#sprite1-p191) Oxford United,John,Smith,John Smith
England,[](#sprite1-p246) Tranmere Rovers,John,Jones,John Jones
England,[](#sprite1-p442) Accrington Stanley,Paul,X,Paul X
England,[](#sprite1-p145) Wimbledon,Mark,"Smith, Sweeney",Mark Smith-Sweeney
England,[](#sprite1-p333) Southend United,John,Jones,John Jones
England,[](#sprite1-p104) Bolton Wanderers,John,Taylor,John Taylor
England,[](#sprite1-p466) Bury,John,Smith,John Smith
England,[](#sprite1-p267) Exeter City,John,X,John X
England,[](#sprite2-p66) Newport County,John,Jones,John Jones
England,[](#sprite1-p236) Crewe Alexandra,John,Jones,John Jones
England,[](#sprite1-p233) Grimsby Town,John,Jones,John Jones
England,[](#sprite1-p131) Swindon Town,"Paul, John",Smith,Paul-John Smith
England,[](#sprite1-p170) Plymouth Argyle,John,Smith,John Smith
England,[](#sprite1-p469) Macclesfield Town,John,Smith,John Smith
England,[](#sprite2-p38) Crawley Town,"John, Josh, Scott",Smith,John-Josh-Scott Smith
England,[](#sprite2-p179) Forest Green Rovers,Steve,Williams,Steve Williams
England,[](#sprite1-p307) Port Vale,John,Smith,John Smith
England,[](#sprite1-p266) Cheltenham Town,Chris,Jones,Chris Jones
England,[](#sprite1-p155) Bradford City,John,Smith,John Smith
England,[](#sprite1-p354) Colchester United,John,Smith,John Smith
England,[](#sprite1-p312) Cambridge United,"David, John",Smith,David-John Smith
England,[](#sprite1-p219) Leyton Orient,John,Smith,John Smith
England,[](#sprite7-p66) Salford City,Danny,"Green, Norris, Redshaw",Danny Green-Norris-Redshaw
England,[](#sprite1-p346) Northampton Town,John,Smith,John Smith
England,[](#sprite1-p305) Carlisle United,John,Smith,John Smith
England,[](#sprite2-p248) Mansfield Town,John,Smith,John Smith
England,[](#sprite1-p355) Morecambe,Andy,"Smith, Taylor",Andy Smith-Taylor
England,[](#sprite1-p370) Walsall,John,Smith,John Smith
England,[](#sprite1-p255) Oldham Athletic,David,Taylor,David Taylor
England,[](#sprite1-p334) Stevenage,"Mark, Steve",Smith,Mark-Steve Smith
England,[](#sprite1-p278) Scunthorpe United,"John, Andy","Jones, Taylor",John-Andy Jones-Taylor
