sprite,name
[](#sprite6-p3),Algeria
[](#sprite6-p5),Angola
[](#sprite6-p19),Benin
[](#sprite6-p23),Botswana
[](#sprite6-p27),Burkina Faso
[](#sprite6-p28),Burundi
[](#sprite6-p30),Cameroon
[](#sprite6-p32),Cape Verde
[](#sprite6-p33),Central African Republic
[](#sprite6-p34),Chad
[](#sprite6-p38),Comoros
[](#sprite6-p40),Congo
[](#sprite6-p42),Côte d'Ivoire
[](#sprite6-p48),Djibouti
[](#sprite6-p39),DR Congo
[](#sprite6-p52),Egypt
[](#sprite6-p54),Equatorial Guinea
[](#sprite6-p55),Eritrea
[](#sprite6-p57),Ethiopia
[](#sprite6-p61),Gabon
[](#sprite6-p62),Gambia
[](#sprite6-p65),Ghana
[](#sprite6-p69),Guinea
[](#sprite6-p70),Guinea-Bissau
[](#sprite6-p87),Kenya
[](#sprite6-p96),Lesotho
[](#sprite6-p97),Liberia
[](#sprite6-p98),Libya
[](#sprite6-p103),Madagascar
[](#sprite6-p104),Malawi
[](#sprite6-p107),Mali
[](#sprite6-p110),Mauritania
[](#sprite6-p111),Mauritius
[](#sprite6-p118),Morocco
[](#sprite6-p119),Mozambique
[](#sprite6-p121),Namibia
[](#sprite6-p127),Niger
[](#sprite6-p128),Nigeria
[](#sprite6-p143),Rwanda
[](#sprite6-p149),São Tomé and Príncipe
[](#sprite6-p151),Senegal
[](#sprite6-p153),Seychelles
[](#sprite6-p154),Sierra Leone
[](#sprite6-p159),Somalia
[](#sprite6-p160),South Africa
[](#sprite6-p235),South Sudan
[](#sprite6-p163),Sudan
[](#sprite6-p165),Swaziland
[](#sprite6-p170),Tanzania
[](#sprite6-p173),Togo
[](#sprite6-p176),Tunisia
[](#sprite6-p180),Uganda
[](#sprite6-p192),Zambia
[](#sprite6-p233),Zanzibar
[](#sprite6-p193),Zimbabwe
[](#sprite6-p1),Afghanistan
[](#sprite6-p13),Bahrain
[](#sprite6-p14),Bangladesh
[](#sprite6-p20),Bhutan
[](#sprite6-p25),Brunei Darussalam
[](#sprite6-p29),Cambodia
[](#sprite6-p36),China
[](#sprite6-p194),Chinese Taipei
[](#sprite6-p215),Hong Kong
[](#sprite6-p76),India
[](#sprite6-p77),Indonesia
[](#sprite6-p78),Iran
[](#sprite6-p79),Iraq
[](#sprite6-p84),Japan
[](#sprite6-p85),Jordan
[](#sprite6-p91),Kuwait
[](#sprite6-p92),Kyrgyzstan
[](#sprite6-p93),Laos
[](#sprite6-p95),Lebanon
[](#sprite6-p216),Macau
[](#sprite6-p105),Malaysia
[](#sprite6-p106),Maldives
[](#sprite6-p116),Mongolia
[](#sprite6-p120),Myanmar
[](#sprite6-p123),Nepal
[](#sprite6-p89),DPR of Korea
[](#sprite6-p130),Oman
[](#sprite6-p131),Pakistan
[](#sprite6-p227),Palestine
[](#sprite6-p137),Philippines
[](#sprite6-p140),Qatar
[](#sprite6-p150),Saudi Arabia
[](#sprite6-p155),Singapore
[](#sprite6-p90),Korea Republic
[](#sprite6-p162),Sri Lanka
[](#sprite6-p168),Syria
[](#sprite6-p169),Tajikistan
[](#sprite6-p171),Thailand
[](#sprite6-p234),Tibet
[](#sprite6-p172),Timor-Leste
[](#sprite6-p178),Turkmenistan
[](#sprite6-p182),United Arab Emirates
[](#sprite6-p186),Uzbekistan
[](#sprite6-p190),Vietnam
[](#sprite6-p191),Yemen
[](#sprite6-p212),American Samoa
[](#sprite6-p9),Australia
[](#sprite6-p229),Cook Islands
[](#sprite6-p58),Fiji
[](#sprite6-p213),Guam
[](#sprite6-p88),Kiribati
[](#sprite6-p109),Marshall Islands
[](#sprite6-p113),Micronesia
[](#sprite6-p122),Nauru
[](#sprite6-p196),New Caledonia
[](#sprite6-p125),New Zealand
[](#sprite6-p195),Norfolk Island
[](#sprite6-p210),Northern Mariana Islands
[](#sprite6-p132),Palau
